"Add","Adicionar"
"Allow Gift Messages for Order Items","Permitir mensagens de presentes para itens do pedido"
"Allow Gift Messages on Order Level","Permitir mensagens de presentes em qualquer etapa do pedido"
"An error occurred while saving the gift message.","Ocorreu um erro ao salvar a mensagem."
"Are you sure?","Você tem certeza?"
"Check this checkbox if you want to add gift messages to your items.","Marque este checkbox se você deseja adicionar mensagens de presente para seus itens."
"Check this checkbox if you want to add gift messages.","Marque este checkbox se você deseja adicionar uma mensagem para presente."
"Do you have any gift items in your order?","Você tem algum item para presente no seu pedido?"
"Edit","Editar"
"Enter a gift message for each item in your order.","Informe uma mensagem de presente para cada item do seu pedido."
"Enter a gift message for entire order.","Informe uma mensagem de presente para este pedido."
"Enter a gift message for this address.","Informe uma mensagem de presente para este endereço."
"From","De"
"Gift Messages","Mensagem para Presente"
"Item %d of %d","Item %d de %d"
"Message","Mensagem"
"No","Não"
"Save Gift Message","Salvar Mensagem para Presente"
"The gift message has been removed","A mensagem de presente foi excluída com sucesso"
"The gift message has been saved","A mensagem de presente foi salva com sucesso"
"The gift message has been saved.","A mensagem de presente foi salva com sucesso."
"To","Para"
"Unknown entity type","Tipo de entidade desconhecido"
"Use config","Usar configuração"
"Yes","Sim"
"You can leave this box blank if you do not wish to add a gift message for the item.","Apenas deixe em branco se você não deseja incluir uma mensagem de presente para este item."
"You can leave this box blank if you do not wish to add a gift message for this address.","Apenas deixe em branco se você não deseja incluir uma mensagem de presente para este endereço."
"You can leave this box blank if you do not wish to add a gift message for whole order.","Apenas deixe em branco se você não deseja incluir uma mensagem de presente para todo pedido."
