"Actions","A√ß√µes"
"Add Answer","Incluir Resposta"
"Add New Answer","Incluir Resposta"
"Add New Poll","Criar Enquete"
"Answer Title","T√≠tulo da Resposta"
"Answer Title:","T√≠tulo da Resposta:"
"Answer with the same title in this poll","Resposta possui o mesmo t√≠tulo da enquete"
"Are you sure you want to delete it?","Deseja realmente excluir?"
"Assigned Answers","Verificar Respostas"
"Closed","Fechado"
"Community Poll","Enquete"
"Date Closed","Data de Fechamento"
"Date Posted","Data de Divulga√ß√£o"
"Delete","Excluir"
"Delete Answer","Excluir Resposta"
"Delete Poll","Excluir"
"Disallow voting in a poll multiple times from same IP-address","Permitir apenas um voto por IP"
"Edit Answer '%s'","Editar Resposta '%s'"
"Edit Poll '%s'","Editar Enquete '%s'"
"Edit Poll Answer","Editar Resposta da Enquete"
"ID","ID"
"Invalid Answer.","Resposta Inv√°lida."
"New Poll","Nova Enquete"
"Number of Responses","Num. de Respostas"
"Open","Aberto"
"Poll Answers","Respostas desta Enquete"
"Poll Information","Informa√ß√£o da Enquete"
"Poll Manager","Gerenciar Enquete"
"Poll Question","Pergunta"
"Poll information","Informa√ß√µes da enquete"
"Poll with the same question","Enquete com a mesma pergunta"
"Polls","Enquetes"
"Save Answer","Salvar Resposta"
"Save Poll","Salvar"
"Status","Status"
"The answer has been saved.","A resposta foi salva."
"The poll does not exist.","A enquete não existe."
"Unable to find an answer to delete.","N√£o foi encontrado uma resposta para excluir."
"Visible In","Vis√≠vel Em"
"Vote","Votar"
"Votes Count","Contar Votos"
"Votes Count:","Contar Votos:"
